id,title,description,category,date,location,coordinates,points,stateId,maxAttendees,imageUrl,createdAt
aef6f06d-c4e7-4835-bf53-c3ceeacaec9d,Lagos Youth Rally,Join us for a mega rally celebrating youth participation in governance,Rally,"""2024-12-27T13:11:00.121Z""","Tafawa Balewa Square, Lagos",,10,,5000,https://images.unsplash.com/photo-1550000000000,"""2024-11-27T13:11:00.121Z"""
fe87297b-30e1-4b49-83ff-9a94d29b3afc,Kano Town Hall Meeting,Interactive session with party leaders on local development,Town Hall,"""2024-11-22T12:28:15.158Z""",Kano Municipal Hall,,10,,300,https://images.unsplash.com/photo-1550010000000,"""2024-10-23T12:28:15.158Z"""
360dcd4f-28ec-4ea2-bb4b-0bc1df63c3aa,FCT Leadership Summit,Annual gathering of APC leaders and stakeholders,Summit,"""2024-11-16T16:25:24.147Z""","International Conference Centre, Abuja",,10,,1000,https://images.unsplash.com/photo-1550020000000,"""2024-10-17T16:25:24.147Z"""
6aa2197e-50ef-4ae2-971d-c7ac03373d58,Grassroots Mobilization Training,Capacity building workshop for ward coordinators,Training,"""2025-10-18T19:01:49.408Z""",Lagos State APC Secretariat,,10,,150,https://images.unsplash.com/photo-1550030000000,"""2025-09-18T19:01:49.408Z"""
2ab7723c-1d25-438e-95bd-79ce4b5e9793,Community Outreach - Ikeja,Meet and greet with constituents in Ikeja LGA,Canvassing,"""2025-10-22T02:57:29.186Z""",Ikeja Under Bridge,,10,,200,https://images.unsplash.com/photo-1550040000000,"""2025-09-22T02:57:29.186Z"""
5695ae13-18c6-4917-b257-52b561385f84,Women in Politics Conference,Empowering female members for greater participation,Meeting,"""2025-10-08T23:37:33.907Z""","Sheraton Hotel, Abuja",,10,,500,https://images.unsplash.com/photo-1550050000000,"""2025-09-08T23:37:33.907Z"""
20a54633-4a05-44c6-a734-70b43df84307,Youth Skills Acquisition Program,Free training in digital skills and entrepreneurship,Training,"""2025-09-15T00:34:45.253Z""",Kano Technology Hub,,10,,250,https://images.unsplash.com/photo-1550060000000,"""2025-08-16T00:34:45.253Z"""
d14f37b3-eab3-4d97-ba5d-abc1217dd7a7,Party Members Forum - Rivers,Quarterly meeting for all party members in Rivers State,Meeting,"""2025-06-15T10:23:40.368Z""",Port Harcourt City Hall,,10,,400,https://images.unsplash.com/photo-1550070000000,"""2025-05-16T10:23:40.368Z"""
56b430d1-fc90-47ed-8f32-6316973ce78c,Electoral Strategy Workshop,Planning session for upcoming elections,Training,"""2025-07-18T17:32:53.180Z""",Lagos Mainland,,10,,100,https://images.unsplash.com/photo-1550080000000,"""2025-06-18T17:32:53.180Z"""
c292b155-dcfa-4164-84ab-3f236d104a8a,National Unity Rally,Celebrating Nigeria's diversity and APC's inclusive vision,Rally,"""2025-06-23T17:13:22.832Z""","Eagle Square, Abuja",,10,,10000,https://images.unsplash.com/photo-1550090000000,"""2025-05-24T17:13:22.832Z"""
