id,title,excerpt,content,category,imageUrl,authorId,likes,comments,publishedAt
34bdff4e-9350-4024-a260-c21429e30329,APC Launches New Youth Empowerment Program,The party announces a comprehensive initiative to support young entrepreneurs across Nigeria,"The party announces a comprehensive initiative to support young entrepreneurs across Nigeria. This comprehensive initiative demonstrates the party's commitment to development and progress. Stakeholders across all levels have expressed strong support for these measures, which are expected to create lasting positive impact in communities nationwide.",National,https://images.unsplash.com/photo-1500000000000,d532b603-5bd5-4e12-b142-b914676f1b39,111,40,"""2025-01-13T12:10:25.970Z"""
68e71eaf-6b4c-47fa-ab39-6519c894216a,Lagos State Chapter Holds Town Hall Meeting,Members gather to discuss infrastructure development and community projects,"Members gather to discuss infrastructure development and community projects. This comprehensive initiative demonstrates the party's commitment to development and progress. Stakeholders across all levels have expressed strong support for these measures, which are expected to create lasting positive impact in communities nationwide.",State,https://images.unsplash.com/photo-1500010000000,541c9bc8-b9d3-4325-a48f-cbf29e580026,37,34,"""2024-12-27T04:16:51.090Z"""
2584d895-c218-4ee1-90f6-b32ccfb66391,Kano Youth Leader Addresses Education Reforms,Focus on improving educational facilities and teacher training programs,"Focus on improving educational facilities and teacher training programs. This comprehensive initiative demonstrates the party's commitment to development and progress. Stakeholders across all levels have expressed strong support for these measures, which are expected to create lasting positive impact in communities nationwide.",State,https://images.unsplash.com/photo-1500020000000,541c9bc8-b9d3-4325-a48f-cbf29e580026,155,24,"""2024-10-27T16:39:52.427Z"""
8f820a78-41ba-49db-a744-a52874d7bfa1,New Healthcare Initiative Announced for FCT,Free medical checkups and health awareness campaigns launched in Abuja,"Free medical checkups and health awareness campaigns launched in Abuja. This comprehensive initiative demonstrates the party's commitment to development and progress. Stakeholders across all levels have expressed strong support for these measures, which are expected to create lasting positive impact in communities nationwide.",LGA,https://images.unsplash.com/photo-1500030000000,defa1277-ea9a-4c7c-bf08-ad166748e063,144,47,"""2024-11-07T22:15:11.684Z"""
d2b3eb6e-7598-4365-86a0-1405aa0b9082,APC National Convention: Key Highlights,Party leaders outline vision for progressive governance and economic development,"Party leaders outline vision for progressive governance and economic development. This comprehensive initiative demonstrates the party's commitment to development and progress. Stakeholders across all levels have expressed strong support for these measures, which are expected to create lasting positive impact in communities nationwide.",Party News,https://images.unsplash.com/photo-1500040000000,d532b603-5bd5-4e12-b142-b914676f1b39,119,40,"""2024-11-05T06:06:03.846Z"""
add35b76-d26a-40ff-bea6-d292798ebadd,Infrastructure Development Plan for Southern Nigeria,Major road construction and power projects to commence in Q2,"Major road construction and power projects to commence in Q2. This comprehensive initiative demonstrates the party's commitment to development and progress. Stakeholders across all levels have expressed strong support for these measures, which are expected to create lasting positive impact in communities nationwide.",Policy Updates,https://images.unsplash.com/photo-1500050000000,9b9aa491-041e-4808-a690-341a9d06f0e7,124,6,"""2025-01-06T23:15:02.037Z"""
53666cbf-fd73-4319-b61c-9b1757082010,Technology Hub Opens in Lagos,APC partners with tech companies to create digital skills training center,"APC partners with tech companies to create digital skills training center. This comprehensive initiative demonstrates the party's commitment to development and progress. Stakeholders across all levels have expressed strong support for these measures, which are expected to create lasting positive impact in communities nationwide.",State,https://images.unsplash.com/photo-1500070000000,d532b603-5bd5-4e12-b142-b914676f1b39,56,40,"""2024-10-24T15:02:05.491Z"""
9df811a5-44dc-4b66-85c3-cf34bd01a3a1,Women Empowerment Summit Scheduled,Female party members to discuss representation and economic opportunities,"Female party members to discuss representation and economic opportunities. This comprehensive initiative demonstrates the party's commitment to development and progress. Stakeholders across all levels have expressed strong support for these measures, which are expected to create lasting positive impact in communities nationwide.",Party News,https://images.unsplash.com/photo-1500080000000,9b9aa491-041e-4808-a690-341a9d06f0e7,67,49,"""2024-10-23T14:52:42.898Z"""
efd7036a-6b5d-4261-afa5-c38913507c34,Security Forum Addresses Community Safety,Stakeholders meet to develop grassroots security strategies,"Stakeholders meet to develop grassroots security strategies. This comprehensive initiative demonstrates the party's commitment to development and progress. Stakeholders across all levels have expressed strong support for these measures, which are expected to create lasting positive impact in communities nationwide.",Policy Updates,https://images.unsplash.com/photo-1500090000000,84de4fde-641f-43d6-ab81-c8921a6bb302,127,25,"""2024-12-01T12:00:38.555Z"""
a7afe7d5-4b42-4109-97ce-845926d5f3a4,Education Scholarship Program Expanded,500 more students to benefit from APC education support initiative,"500 more students to benefit from APC education support initiative. This comprehensive initiative demonstrates the party's commitment to development and progress. Stakeholders across all levels have expressed strong support for these measures, which are expected to create lasting positive impact in communities nationwide.",National,https://images.unsplash.com/photo-1500100000000,9b9aa491-041e-4808-a690-341a9d06f0e7,54,1,"""2025-01-07T17:18:39.309Z"""
